gameorder,year_id,team,opponent,location,team_points,opp_points,elo_before,elo_after,win_equiv,won,point_diff
61847,2015,Rockets,Lakers,A,108,90,1596.4641,1607.8038,51.586834,1,18
61847,2015,Lakers,Rockets,H,90,108,1421.9985,1410.6588,31.337477,0,-18
61848,2015,Pelicans,Magic,H,101,84,1457.2185,1463.354,36.695789,1,17
61848,2015,Magic,Pelicans,A,84,101,1359.4265,1353.291,25.881901,0,-17
61849,2015,Spurs,Mavericks,H,101,100,1699.5024,1701.1141,60.040932,1,1
61849,2015,Mavericks,Spurs,A,100,101,1592.0101,1590.3984,49.864151,0,-1
61850,2015,Celtics,Nets,H,121,105,1378.5464,1394.7191,29.774229,1,16
61850,2015,Nets,Celtics,A,105,121,1518.2666,1502.0939,40.743515,0,-16
61851,2015,Bucks,Hornets,A,106,108,1317.8491,1316.6272,22.6791,0,-2
61851,2015,Hornets,Bucks,H,108,106,1511.0031,1512.225,41.806114,1,2
61852,2015,Nuggets,Pistons,H,89,79,1473.0493,1477.7131,38.190491,1,10
61852,2015,Pistons,Nuggets,A,79,89,1389.2994,1384.6356,28.802885,0,-10
61853,2015,Pacers,Sixers,H,103,91,1532.6748,1535.2634,44.216228,1,12
61853,2015,Sixers,Pacers,A,91,103,1316.4243,1313.8357,22.445501,0,-12
61854,2015,Grizzlies,Timberwolves,H,105,101,1578.4064,1581.522,48.972343,1,4
61854,2015,Timberwolves,Grizzlies,A,101,105,1513.3354,1510.2198,41.595848,0,-4
61855,2015,Wizards,Heat,A,95,107,1541.4388,1534.9141,44.179802,0,-12
61855,2015,Heat,Wizards,H,107,95,1579.3748,1585.8995,49.413189,1,12
61856,2015,Knicks,Bulls,H,80,104,1534.4419,1509.5001,41.520367,0,-24
61856,2015,Bulls,Knicks,A,104,80,1547.2185,1572.1603,48.023235,1,24
61857,2015,Suns,Lakers,H,119,99,1560.1208,1565.3689,47.329758,1,20
61857,2015,Lakers,Suns,A,99,119,1410.6588,1405.4108,30.819227,0,-20
61858,2015,Thunder,Trailblazers,A,89,106,1619.7805,1607.6138,51.568226,0,-17
61858,2015,Trailblazers,Thunder,H,106,89,1567.8318,1579.9985,48.81847,1,17
61859,2015,Warriors,Kings,A,95,77,1590.7976,1602.8633,51.101589,1,18
61859,2015,Kings,Warriors,H,77,95,1431.1567,1419.0911,32.176994,0,-18
61860,2015,Raptors,Hawks,H,109,102,1550.7469,1554.9813,46.26199,1,7
61860,2015,Hawks,Raptors,A,102,109,1490.1147,1485.8804,39.044273,0,-7
61861,2015,Jazz,Rockets,H,93,104,1373.317,1367.0422,27.144075,0,-11
61861,2015,Rockets,Jazz,A,104,93,1607.8038,1614.0786,52.198559,1,11
61862,2015,Cavaliers,Knicks,H,90,95,1463.7213,1455.226,35.854546,0,-5
61862,2015,Knicks,Cavaliers,A,95,90,1509.5001,1517.9955,42.410961,1,5
61863,2015,Jazz,Mavericks,A,102,120,1367.0422,1363.7863,26.8424,0,-18
61863,2015,Mavericks,Jazz,H,120,102,1590.3984,1593.6544,50.189129,1,18
61864,2015,Thunder,Clippers,A,90,93,1607.6138,1604.2545,51.238544,0,-3
61864,2015,Clippers,Thunder,H,93,90,1630.6335,1633.9928,54.10347,1,3
61865,2015,Pistons,Timberwolves,A,91,97,1384.6356,1381.8267,28.534891,0,-6
61865,2015,Timberwolves,Pistons,H,97,91,1510.2198,1513.0288,41.890396,1,6
61866,2015,Wizards,Magic,A,105,98,1534.9141,1540.9893,44.812416,1,7
61866,2015,Magic,Wizards,H,98,105,1353.291,1347.2158,25.334467,0,-7
61867,2015,Bulls,Cavaliers,H,108,114,1572.1603,1557.6185,46.533825,0,-6
61867,2015,Cavaliers,Bulls,A,114,108,1455.226,1469.7677,37.362232,1,6
61868,2015,Grizzlies,Pacers,A,97,89,1581.522,1592.4651,50.07056,1,8
61868,2015,Pacers,Grizzlies,H,89,97,1535.2634,1524.3203,43.073196,0,-8
61869,2015,Clippers,Lakers,A,118,111,1633.9928,1638.92,54.565639,1,7
61869,2015,Lakers,Clippers,H,111,118,1405.4108,1400.4835,30.335787,0,-7
61870,2015,Bucks,Sixers,H,93,81,1316.6272,1324.2878,23.327812,1,12
61870,2015,Sixers,Bucks,A,81,93,1313.8357,1306.175,21.812202,0,-12
61871,2015,Suns,Spurs,H,94,89,1565.3689,1573.3562,48.144936,1,5
61871,2015,Spurs,Suns,A,89,94,1701.1141,1693.1268,59.377598,0,-5
61872,2015,Trailblazers,Kings,A,94,103,1579.9985,1567.9905,47.597916,0,-9
61872,2015,Kings,Trailblazers,H,103,94,1419.0911,1431.0991,33.385868,1,9
61873,2015,Pacers,Hawks,A,92,102,1524.3203,1516.1642,42.219063,0,-10
61873,2015,Hawks,Pacers,H,102,92,1485.8804,1494.0365,39.898594,1,10
61874,2015,Grizzlies,Hornets,A,71,69,1592.4651,1597.6534,50.586613,1,2
61874,2015,Hornets,Grizzlies,H,69,71,1512.225,1507.0366,41.261978,0,-2
61875,2015,Nets,Pistons,A,102,90,1502.0939,1512.8772,41.8745,1,12
61875,2015,Pistons,Nets,H,90,102,1381.8267,1371.0433,27.517117,0,-12
61876,2015,Lakers,Warriors,A,104,127,1400.4835,1396.1412,29.912357,0,-23
61876,2015,Warriors,Lakers,H,127,104,1602.8633,1607.2056,51.52824,1,23
61877,2015,Rockets,Celtics,H,104,90,1614.0786,1616.8905,52.470966,1,14
61877,2015,Celtics,Rockets,A,90,104,1394.7191,1391.9072,29.501928,0,-14
61878,2015,Timberwolves,Bulls,H,105,106,1513.0288,1508.1306,41.376728,0,-1
61878,2015,Bulls,Timberwolves,A,106,105,1557.6185,1562.5167,47.037384,1,1
61879,2015,Mavericks,Pelicans,A,109,104,1593.6544,1599.9275,50.811802,1,5
61879,2015,Pelicans,Mavericks,H,104,109,1463.354,1457.0809,36.046173,0,-5
61880,2015,Nuggets,Thunder,A,91,102,1477.7131,1473.733,37.775261,0,-11
61880,2015,Thunder,Nuggets,H,102,91,1604.2545,1608.2346,51.628998,1,11
61881,2015,Raptors,Magic,A,108,95,1554.9813,1562.8708,47.073719,1,13
61881,2015,Magic,Raptors,H,95,108,1347.2158,1339.3263,24.633213,0,-13
61882,2015,Heat,Sixers,A,114,96,1585.8995,1592.8823,50.112175,1,18
61882,2015,Sixers,Heat,H,96,114,1306.175,1299.1923,21.244967,0,-18
61883,2015,Jazz,Suns,H,118,91,1363.7863,1392.7725,29.5856,1,27
61883,2015,Suns,Jazz,A,91,118,1573.3562,1544.37,45.163685,0,-27
61884,2015,Bucks,Wizards,A,97,108,1324.2878,1321.8444,23.119684,0,-11
61884,2015,Wizards,Bucks,H,108,97,1540.9893,1543.4327,45.06636,1,11
61885,2015,Kings,Clippers,A,98,92,1431.0991,1448.6361,35.17569,1,6
61885,2015,Clippers,Kings,H,92,98,1638.92,1621.3831,52.903919,0,-6
61886,2015,Raptors,Heat,A,102,107,1562.8708,1558.7764,46.653015,0,-5
61886,2015,Heat,Raptors,H,107,102,1592.8823,1596.9768,50.519489,1,5
61887,2015,Hornets,Knicks,A,93,96,1507.0366,1503.4882,40.889767,0,-3
61887,2015,Knicks,Hornets,H,96,93,1517.9955,1521.5439,42.782612,1,3
61888,2015,Warriors,Trailblazers,A,95,90,1607.2056,1615.8838,52.373566,1,5
61888,2015,Trailblazers,Warriors,H,90,95,1567.9905,1559.3123,46.708149,0,-5
61889,2015,Nets,Thunder,H,116,85,1512.8772,1534.8898,44.177269,1,31
61889,2015,Thunder,Nets,A,85,116,1608.2346,1586.222,49.445591,0,-31
61890,2015,Mavericks,Celtics,H,118,113,1599.9275,1601.5667,50.973732,1,5
61890,2015,Celtics,Mavericks,A,113,118,1391.9072,1390.2681,29.343697,0,-5
61891,2015,Kings,Nuggets,A,110,105,1448.6361,1459.156,36.260796,1,5
61891,2015,Nuggets,Kings,H,105,110,1473.733,1463.2131,36.681175,0,-5
61892,2015,Clippers,Jazz,H,107,101,1621.3831,1622.988,53.057896,1,6
61892,2015,Jazz,Clippers,A,101,107,1392.7725,1391.1675,29.430471,0,-6
61893,2015,Pelicans,Grizzlies,A,81,93,1457.0809,1453.1731,35.642742,0,-12
61893,2015,Grizzlies,Pelicans,H,93,81,1597.6534,1601.5613,50.973202,1,12
61894,2015,Rockets,Sixers,A,104,93,1616.8905,1621.0573,52.872616,1,11
61894,2015,Sixers,Rockets,H,93,104,1299.1923,1295.0255,20.911091,0,-11
61895,2015,Magic,Bulls,A,90,98,1339.3263,1337.3835,24.46224,0,-8
61895,2015,Bulls,Magic,H,98,90,1562.5167,1564.4595,47.236603,1,8
61896,2015,Bucks,Pacers,A,87,81,1321.8444,1338.9329,24.598534,1,6
61896,2015,Pacers,Bucks,H,81,87,1516.1642,1499.0757,40.426952,0,-6
61897,2015,Lakers,Suns,H,106,112,1396.1412,1389.7228,29.291142,0,-6
61897,2015,Suns,Lakers,A,112,106,1544.37,1550.7885,45.828838,1,6
61898,2015,Rockets,Heat,A,108,91,1621.0573,1640.0063,54.667019,1,17
61898,2015,Heat,Rockets,H,91,108,1596.9768,1578.0277,48.619064,0,-17
61899,2015,Pelicans,Hornets,H,100,91,1453.1731,1461.2051,36.472992,1,9
61899,2015,Hornets,Pelicans,A,91,100,1503.4882,1495.4562,40.047417,0,-9
61900,2015,Knicks,Wizards,H,83,98,1521.5439,1504.0078,40.944275,0,-15
61900,2015,Wizards,Knicks,A,98,83,1543.4327,1560.9689,46.878448,1,15
61901,2015,Trailblazers,Cavaliers,H,101,82,1559.3123,1566.2142,47.416286,1,19
61901,2015,Cavaliers,Trailblazers,A,82,101,1469.7677,1462.8657,36.645142,0,-19
61902,2015,Raptors,Thunder,H,100,88,1558.7764,1567.5104,47.548847,1,12
61902,2015,Thunder,Raptors,A,88,100,1586.222,1577.488,48.564396,0,-12
61903,2015,Celtics,Raptors,H,107,110,1390.2681,1386.1544,28.948267,0,-3
61903,2015,Raptors,Celtics,A,110,107,1567.5104,1571.624,47.96862,1,3
61904,2015,Nets,Timberwolves,H,91,98,1534.8898,1522.2559,42.85714,0,-7
61904,2015,Timberwolves,Nets,A,98,91,1508.1306,1520.7645,42.701,1,7
61905,2015,Hornets,Heat,H,96,89,1495.4562,1503.3374,40.873951,1,7
61905,2015,Heat,Hornets,A,89,96,1578.0277,1570.1465,47.818016,0,-7
61906,2015,Pistons,Knicks,H,98,95,1371.0433,1377.3285,28.108179,1,3
61906,2015,Knicks,Pistons,A,95,98,1504.0078,1497.7227,40.285061,0,-3
61907,2015,Warriors,Clippers,H,121,104,1615.8838,1625.957,53.341755,1,17
61907,2015,Clippers,Warriors,A,104,121,1622.988,1612.9148,52.085495,0,-17
61908,2015,Bucks,Bulls,H,86,95,1338.9329,1333.151,24.092131,0,-9
61908,2015,Bulls,Bucks,A,95,86,1564.4595,1570.2413,47.82769,1,9
61909,2015,Magic,Sixers,A,91,89,1337.3835,1343.2817,24.983406,1,2
61909,2015,Sixers,Magic,H,89,91,1295.0255,1289.1273,20.444416,0,-2
61910,2015,Grizzlies,Suns,A,102,91,1601.5613,1614.6375,52.252785,1,11
61910,2015,Suns,Grizzlies,H,91,102,1550.7885,1537.7123,44.471394,0,-11
61911,2015,Kings,Nuggets,H,131,109,1459.156,1471.0381,37.494476,1,22
61911,2015,Nuggets,Kings,A,109,131,1463.2131,1451.3311,35.452938,0,-22
61912,2015,Hawks,Spurs,A,92,94,1494.0365,1492.8539,39.774643,0,-2
61912,2015,Spurs,Hawks,H,94,92,1693.1268,1694.3094,59.476593,1,2
61913,2015,Cavaliers,Jazz,A,100,102,1462.8657,1458.5249,36.195496,0,-2
61913,2015,Jazz,Cavaliers,H,102,100,1391.1675,1395.5083,29.850847,1,2
61914,2015,Wizards,Pacers,H,96,94,1560.9689,1563.3861,47.126572,1,2
61914,2015,Pacers,Wizards,A,94,96,1499.0757,1496.6584,40.17347,0,-2
61915,2015,Rockets,Spurs,H,98,81,1640.0063,1652.2893,55.800041,1,17
61915,2015,Spurs,Rockets,A,81,98,1694.3094,1682.0265,58.435421,0,-17
61916,2015,Trailblazers,Mavericks,H,108,87,1566.2142,1579.3641,48.754322,1,21
61916,2015,Mavericks,Trailblazers,A,87,108,1601.5667,1588.4167,49.665779,0,-21
61917,2015,Pacers,Celtics,A,98,101,1496.6584,1490.8501,39.564674,0,-3
61917,2015,Celtics,Pacers,H,101,98,1386.1544,1391.9628,29.507296,1,3
61918,2015,Nets,Knicks,H,110,99,1522.2559,1528.8265,43.544373,1,11
61918,2015,Knicks,Nets,A,99,110,1497.7227,1491.152,39.596302,0,-11
61919,2015,Hawks,Hornets,A,119,122,1492.8539,1489.2977,39.402061,0,-3
61919,2015,Hornets,Hawks,H,122,119,1503.3374,1506.8936,41.246971,1,3
61920,2015,Nuggets,Cavaliers,H,101,110,1451.3311,1438.0729,34.094429,0,-9
61920,2015,Cavaliers,Nuggets,A,110,101,1458.5249,1471.7831,37.572063,1,9
61921,2015,Pistons,Bucks,H,98,95,1377.3285,1380.3726,28.396618,1,3
61921,2015,Bucks,Pistons,A,95,98,1333.151,1330.1069,23.827978,0,-3
61922,2015,Thunder,Grizzlies,H,89,91,1577.488,1571.4899,47.954956,0,-2
61922,2015,Grizzlies,Thunder,A,91,89,1614.6375,1620.6356,52.832085,1,2
61923,2015,Timberwolves,Magic,A,103,112,1520.7645,1508.1108,41.374653,0,-9
61923,2015,Magic,Timberwolves,H,112,103,1343.2817,1355.9354,26.122169,1,9
61924,2015,Sixers,Bulls,H,115,118,1289.1273,1286.5818,20.245171,0,-3
61924,2015,Bulls,Sixers,A,118,115,1570.2413,1572.7869,48.087013,1,3
61925,2015,Suns,Kings,H,112,114,1537.7123,1529.6503,43.630436,0,-2
61925,2015,Kings,Suns,A,114,112,1471.0381,1479.1001,38.335327,1,2
61926,2015,Raptors,Wizards,H,103,84,1571.624,1581.7811,48.998497,1,19
61926,2015,Wizards,Raptors,A,84,103,1563.3861,1553.229,46.081104,0,-19
61927,2015,Mavericks,Jazz,A,105,82,1588.4167,1600.8418,50.902164,1,23
61927,2015,Jazz,Mavericks,H,82,105,1395.5083,1383.0833,28.654634,0,-23
61928,2015,Knicks,Hawks,A,96,103,1491.152,1485.4983,39.004288,0,-7
61928,2015,Hawks,Knicks,H,103,96,1489.2977,1494.9514,39.994499,1,7
61929,2015,Celtics,Bulls,A,106,101,1391.9628,1407.1082,30.986477,1,5
61929,2015,Bulls,Celtics,H,101,106,1572.7869,1557.6415,46.536186,0,-5
61930,2015,Warriors,Rockets,A,98,87,1625.957,1642.474,54.896618,1,11
61930,2015,Rockets,Warriors,H,87,98,1652.2893,1635.7723,54.270824,0,-11
61931,2015,Wizards,Pacers,A,97,90,1553.229,1562.8384,47.070389,1,7
61931,2015,Pacers,Wizards,H,90,97,1490.8501,1481.2407,38.558998,0,-7
61932,2015,Clippers,Trailblazers,H,106,102,1612.9148,1616.5344,52.436531,1,4
61932,2015,Trailblazers,Clippers,A,102,106,1579.3641,1575.7445,48.387589,0,-4
61933,2015,Timberwolves,Heat,A,92,102,1508.1108,1502.9229,40.830467,0,-10
61933,2015,Heat,Timberwolves,H,102,92,1570.1465,1575.3345,48.345966,1,10
61934,2015,Grizzlies,Bucks,A,92,93,1620.6356,1613.4857,52.140984,0,-1
61934,2015,Bucks,Grizzlies,H,93,92,1330.1069,1337.2568,24.451113,1,1
61935,2015,Pelicans,Spurs,A,100,99,1461.2051,1470.5984,37.448696,1,1
